system:time_start,max,mean,min
"Jan 1, 2010",33.455,27.368,22.823
"Feb 1, 2010",34.595,28.042,23.507
"Mar 1, 2010",34.487,28.294,23.73
"Apr 1, 2010",32.384,26.83,23.191
"May 1, 2010",30.881,25.436,22.445
"Jun 1, 2010",29.983,24.795,21.387
"Jul 1, 2010",28.303,23.591,20.26
"Aug 1, 2010",28.79,23.457,19.693
"Sep 1, 2010",29.051,23.865,19.217
"Oct 1, 2010",31.049,25.318,20.073
"Nov 1, 2010",31.79,26.393,22.312
"Dec 1, 2010",33.017,27.015,22.231
"Jan 1, 2011",34.608,27.924,22.086
"Feb 1, 2011",34.557,27.624,22.432
"Mar 1, 2011",34.183,27.616,23.216
"Apr 1, 2011",32.755,26.899,23.414
"May 1, 2011",31.546,25.523,22.216
"Jun 1, 2011",30.021,24.903,20.992
"Jul 1, 2011",29.808,24.378,20.426
"Aug 1, 2011",29.077,24.02,20.051
"Sep 1, 2011",29.944,24.54,20.701
"Oct 1, 2011",31.591,25.033,20.207
"Nov 1, 2011",32.175,26.162,21.177
"Dec 1, 2011",33.823,27.323,22.317
"Jan 1, 2012",34.455,27.404,22.597
"Feb 1, 2012",34.166,27.429,22.251
"Mar 1, 2012",34.489,27.913,22.893
"Apr 1, 2012",33.703,27.287,23.649
"May 1, 2012",30.688,25.562,22.133
"Jun 1, 2012",29.258,24.587,20.44
"Jul 1, 2012",28.64,23.85,19.136
"Aug 1, 2012",28.723,23.724,19.517
"Sep 1, 2012",29.363,24.308,19.912
"Oct 1, 2012",30.575,25.302,20.819
"Nov 1, 2012",31.794,26.282,21.675
"Dec 1, 2012",33.644,27.276,22.626
"Jan 1, 2013",34.088,27.867,23.119
"Feb 1, 2013",34.575,27.755,23.017
"Mar 1, 2013",33.626,27.787,23.647
"Apr 1, 2013",32.578,27.037,22.66
"May 1, 2013",29.759,25.043,22.005
"Jun 1, 2013",28.416,24.012,20.477
"Jul 1, 2013",28.039,23.567,19.457
"Aug 1, 2013",27.861,23.147,19.533
"Sep 1, 2013",30.316,24.103,19.598
"Oct 1, 2013",30.923,24.984,20.997
"Nov 1, 2013",31.382,26.159,21.27
"Dec 1, 2013",32.114,26.676,22.285
"Jan 1, 2014",33.686,27.235,23.127
"Feb 1, 2014",34.39,27.476,22.788
"Mar 1, 2014",32.993,27.41,22.861
"Apr 1, 2014",31.608,26.616,22.875
"May 1, 2014",30.214,25.116,21.884
"Jun 1, 2014",29.546,24.457,20.161
"Jul 1, 2014",28.275,23.885,19.303
"Aug 1, 2014",29.326,23.859,19.952
"Sep 1, 2014",28.569,23.945,20.406
"Oct 1, 2014",30.255,25.213,20.97
"Nov 1, 2014",32.866,26.343,22.097
"Dec 1, 2014",33.097,27.279,23.145
"Jan 1, 2015",34.241,27.157,22.888
"Feb 1, 2015",34.916,27.897,23.145
"Mar 1, 2015",34.114,27.553,22.97
"Apr 1, 2015",32.045,27.19,23.235
"May 1, 2015",30.586,25.574,21.873
"Jun 1, 2015",30.026,24.852,20.911
"Jul 1, 2015",28.707,23.981,20.674
"Aug 1, 2015",28.109,23.819,20.029
"Sep 1, 2015",29.452,24.505,20.28
"Oct 1, 2015",31.441,26.104,22.201
"Nov 1, 2015",32.327,26.71,22.71
"Dec 1, 2015",34.047,27.805,22.797
"Jan 1, 2016",35.557,28.235,23.692
"Feb 1, 2016",34.86,28.062,23.7
"Mar 1, 2016",34.86,29.25,24.711
"Apr 1, 2016",32.818,27.155,23.235
"May 1, 2016",30.816,25.896,21.824
"Jun 1, 2016",29.963,24.799,20.993
"Jul 1, 2016",29.184,23.808,20.353
"Aug 1, 2016",28.722,23.753,19.475
"Sep 1, 2016",28.582,23.783,18.84
"Oct 1, 2016",31.254,25.282,20.913
"Nov 1, 2016",32.699,26.653,22.904
"Dec 1, 2016",33.498,27.506,23.1
"Jan 1, 2017",34.159,28.014,23.302
"Feb 1, 2017",34.409,27.947,23.167
"Mar 1, 2017",34.983,28.298,23.533
"Apr 1, 2017",32.414,26.726,22.613
"May 1, 2017",30.456,24.949,21.736
"Jun 1, 2017",29.605,25.02,21.787
"Jul 1, 2017",29.941,24.303,20.162
"Aug 1, 2017",29.306,24.208,20.432
"Sep 1, 2017",29.615,24.26,18.684
"Oct 1, 2017",31.284,25.536,21.032
"Nov 1, 2017",32.334,26.162,22.426
"Dec 1, 2017",32.858,26.832,22.75
"Jan 1, 2018",33.317,26.775,21.429
"Feb 1, 2018",34.113,27.569,22.959
"Mar 1, 2018",35.235,27.297,22.358
"Apr 1, 2018",31.369,26.15,23.144
"May 1, 2018",30.277,25.196,21.925
"Jun 1, 2018",29.582,24.339,20.584
"Jul 1, 2018",28.79,23.731,20.542
"Aug 1, 2018",28.387,23.673,19.31
"Sep 1, 2018",29.637,24.449,20.041
"Oct 1, 2018",30.807,25.088,20.079
"Nov 1, 2018",32.549,26.272,21.643
"Dec 1, 2018",33.705,27.17,22.337
"Jan 1, 2019",33.951,27.687,23.055
"Feb 1, 2019",34.178,28,22.929
"Mar 1, 2019",34.484,28.259,22.329
"Apr 1, 2019",34.236,28.127,24.668
"May 1, 2019",31.59,25.248,21.039
"Jun 1, 2019",29.858,25.138,21.474
"Jul 1, 2019",29.492,24.383,19.371
"Aug 1, 2019",30.052,24.362,19.727
"Sep 1, 2019",29.257,24.667,20.078
"Oct 1, 2019",30.408,25.167,21.574
"Nov 1, 2019",33.119,26.241,22.21
"Dec 1, 2019",33.208,27.032,22.617
"Jan 1, 2020",35.116,27.777,23.666
"Feb 1, 2020",34.317,27.853,23.008
"Mar 1, 2020",33.412,27.699,23.704
"Apr 1, 2020",32.037,26.431,23.238
"May 1, 2020",30.889,25.636,21.925
