system:time_start,max,mean,min
"Jan 1, 2010",30.12,23.21,18.451
"Feb 1, 2010",30.653,23.632,18.847
"Mar 1, 2010",29.827,23.129,18.627
"Apr 1, 2010",29.366,23.712,19.024
"May 1, 2010",30.109,23.738,19.179
"Jun 1, 2010",29.873,23.9,18.724
"Jul 1, 2010",29.552,23.259,17.604
"Aug 1, 2010",30.032,23.948,18.118
"Sep 1, 2010",30.803,23.244,17.781
"Oct 1, 2010",30.437,23.352,18.821
"Nov 1, 2010",29.193,23.583,19.17
"Dec 1, 2010",29.105,22.621,18.207
"Jan 1, 2011",30.109,22.859,18.094
"Feb 1, 2011",30.241,23.797,18.371
"Mar 1, 2011",30.538,23.378,18.411
"Apr 1, 2011",29.261,23.217,18.545
"May 1, 2011",30.089,23.702,18.855
"Jun 1, 2011",30.518,23.589,18.218
"Jul 1, 2011",30.006,23.534,17.501
"Aug 1, 2011",30.074,23.067,17.996
"Sep 1, 2011",29.566,22.791,18.364
"Oct 1, 2011",29.266,22.835,18.338
"Nov 1, 2011",27.359,21.953,18.381
"Dec 1, 2011",27.327,22.078,18.109
"Jan 1, 2012",29.339,23.17,17.511
"Feb 1, 2012",31.057,23.988,18.683
"Mar 1, 2012",31.972,24.392,18.609
"Apr 1, 2012",29.577,22.486,18.22
"May 1, 2012",28.164,22.78,18.538
"Jun 1, 2012",28.502,22.883,16.775
"Jul 1, 2012",29.786,23.102,17.003
"Aug 1, 2012",29.504,22.726,17.433
"Sep 1, 2012",29.077,22.548,17.797
"Oct 1, 2012",28.786,23.053,18.698
"Nov 1, 2012",27.786,22.401,18.083
"Dec 1, 2012",27.987,22.22,18.232
"Jan 1, 2013",29.496,23.232,18.511
"Feb 1, 2013",29.915,23.544,18.515
"Mar 1, 2013",30.328,23.281,18.959
"Apr 1, 2013",28.166,22.484,18.918
"May 1, 2013",29.015,23.335,18.459
"Jun 1, 2013",29.235,23.333,17.161
"Jul 1, 2013",29.001,22.982,16.446
"Aug 1, 2013",29.659,23.197,17.706
"Sep 1, 2013",29.986,23.085,17.692
"Oct 1, 2013",30.342,22.933,18.17
"Nov 1, 2013",28.363,22.38,18.345
"Dec 1, 2013",27.931,22.364,17.918
"Jan 1, 2014",28.842,22.916,17.985
"Feb 1, 2014",28.937,23.088,18.037
"Mar 1, 2014",30.9,23.658,18.468
"Apr 1, 2014",29.079,23.219,18.578
"May 1, 2014",30.444,24.037,18.426
"Jun 1, 2014",29.787,23.954,19.026
"Jul 1, 2014",29.553,23.425,18.161
"Aug 1, 2014",29.05,22.915,18.19
"Sep 1, 2014",29.257,22.625,17.415
"Oct 1, 2014",30.14,22.813,18.341
"Nov 1, 2014",28.924,22.873,18.657
"Dec 1, 2014",28.023,22.779,18.602
"Jan 1, 2015",28.529,22.968,18.432
"Feb 1, 2015",29.936,24.254,19.382
"Mar 1, 2015",31.765,24.788,18.704
"Apr 1, 2015",28.103,22.416,18.48
"May 1, 2015",28.537,23.254,18.535
"Jun 1, 2015",29.398,23.291,18.09
"Jul 1, 2015",29.745,23.713,17.569
"Aug 1, 2015",30.744,24.306,18.048
"Sep 1, 2015",31.805,24.698,19.567
"Oct 1, 2015",30.932,23.377,18.884
"Nov 1, 2015",28.117,22.343,18.738
"Dec 1, 2015",27.653,22.428,18.787
"Jan 1, 2016",29.08,23.108,18.275
"Feb 1, 2016",31.044,24.43,19.294
"Mar 1, 2016",31.578,25.28,19.477
"Apr 1, 2016",29.712,23.472,19.172
"May 1, 2016",29.663,23.884,19.063
"Jun 1, 2016",29.525,23.725,17.559
"Jul 1, 2016",30.089,23.499,17.688
"Aug 1, 2016",30.694,23.999,18.022
"Sep 1, 2016",30.504,24.098,18.634
"Oct 1, 2016",30.158,24.182,19.25
"Nov 1, 2016",29.126,23.408,19.261
"Dec 1, 2016",30.377,23.87,19.107
"Jan 1, 2017",31.063,24.574,19.193
"Feb 1, 2017",31.254,24.203,19.275
"Mar 1, 2017",30.028,23.786,18.29
"Apr 1, 2017",31.456,24.435,19.107
"May 1, 2017",30.869,24.509,19.325
"Jun 1, 2017",31.006,25.061,19.293
"Jul 1, 2017",30.192,24.089,18.15
"Aug 1, 2017",30.293,24.261,19.296
"Sep 1, 2017",29.995,23.307,18.448
"Oct 1, 2017",30.259,23.704,19.104
"Nov 1, 2017",29.016,22.879,18.341
"Dec 1, 2017",28.346,23.433,18.94
"Jan 1, 2018",28.793,22.608,18.511
"Feb 1, 2018",31.44,24.94,19.374
"Mar 1, 2018",28.432,22.648,18.762
"Apr 1, 2018",27.219,21.994,18.131
"May 1, 2018",28.442,22.72,17.358
"Jun 1, 2018",28.825,23.077,17.645
"Jul 1, 2018",28.497,22.882,17.165
"Aug 1, 2018",29.531,23.057,17.739
"Sep 1, 2018",31.234,24.493,19.073
"Oct 1, 2018",31.324,23.812,18.749
"Nov 1, 2018",29.686,23.555,18.88
"Dec 1, 2018",29.129,22.713,18.414
"Jan 1, 2019",29.952,23.824,18.977
"Feb 1, 2019",31.843,25.085,19.351
"Mar 1, 2019",31.342,24.744,19.062
"Apr 1, 2019",31.291,23.958,18.906
"May 1, 2019",29.041,23.881,19.468
"Jun 1, 2019",29.861,23.718,18.993
"Jul 1, 2019",30.213,23.436,17.201
"Aug 1, 2019",30.227,24.114,18.559
"Sep 1, 2019",30.717,23.845,18.839
"Oct 1, 2019",30.042,22.831,18.744
"Nov 1, 2019",28.287,22.582,18.645
"Dec 1, 2019",26.864,22.136,18.632
"Jan 1, 2020",28.449,22.843,18.961
"Feb 1, 2020",29.182,23.533,18.929
"Mar 1, 2020",29.543,23.216,19.108
"Apr 1, 2020",28.96,23.026,18.962
"May 1, 2020",29.741,23.352,18.183
